cust_id,Recency,Frequency,Monetary,R_Quartile,F_Quartile,M_Quartile,RFMScore,RFM_Score_Sum,RFM_Level
266783,2779,2,27045.98,4,3,4,434,11,Can't Loose Them
266784,3137,1,4862.0,2,1,2,212,5,Promising
266785,3458,1,6271.98,1,1,2,112,4,Needs Attention
266794,2844,3,17578.34,3,4,3,343,10,Can't Loose Them
266799,2757,1,897.26,4,1,1,411,6,Potential
266804,2806,1,3177.98,4,1,1,411,6,Potential
266805,2663,1,18493.28,4,1,3,413,8,Champions
266806,2692,2,25518.87,4,3,4,434,11,Can't Loose Them
266807,3030,2,2499.51,3,3,1,331,7,Loyal
266809,2970,1,1201.135,3,1,1,311,5,Promising
266810,2967,4,62233.6,3,4,4,344,11,Can't Loose Them
266814,3141,1,3460.8599999999997,2,1,2,212,5,Promising
266815,3063,1,14197.04,2,1,3,213,6,Potential
266816,2773,2,17319.77,4,3,3,433,10,Can't Loose Them
266818,2864,1,1371.305,3,1,1,311,5,Promising
266819,2944,1,11307.465,3,1,3,313,7,Loyal
266820,3230,1,15884.375,2,1,3,213,6,Potential
266822,2817,3,29986.385000000002,4,4,4,444,12,Can't Loose Them
266825,3143,1,21145.28,2,1,3,213,6,Potential
266827,2928,2,4894.045,3,3,2,332,8,Champions
266829,2879,2,7975.89,3,3,2,332,8,Champions
266830,3543,1,18425.875,1,1,3,113,5,Promising
266831,3509,1,397.8,1,1,1,111,3,Require Activation
266833,3451,1,185.64,1,1,1,111,3,Require Activation
266836,3672,1,8065.395,1,1,2,112,4,Needs Attention
266841,3508,1,36520.25,1,1,4,114,6,Potential
266842,3182,1,2347.02,2,1,1,211,4,Needs Attention
266845,3522,1,4110.6,1,1,2,112,4,Needs Attention
266846,2862,1,32072.625,3,1,4,314,8,Champions
266851,2865,2,27879.15,3,3,4,334,10,Can't Loose Them
266852,3175,1,1338.155,2,1,1,211,4,Needs Attention
266853,2806,1,266.305,4,1,1,411,6,Potential
266854,2808,1,6081.92,4,1,2,412,7,Loyal
266855,3456,1,6126.12,1,1,2,112,4,Needs Attention
266856,3698,1,5817.825000000001,1,1,2,112,4,Needs Attention
266857,2720,1,8946.08,4,1,2,412,7,Loyal
266860,2928,1,13065.52,3,1,3,313,7,Loyal
266862,2818,3,49589.085,4,4,4,444,12,Can't Loose Them
266863,3726,1,1538.16,1,1,1,111,3,Require Activation
266864,2870,3,60664.5,3,4,4,344,11,Can't Loose Them
266865,3166,2,10992.54,2,3,3,233,8,Champions
266866,2969,1,3677.44,3,1,2,312,6,Potential
266870,3301,1,6255.405000000001,2,1,2,212,5,Promising
266883,3364,1,5429.97,1,1,2,112,4,Needs Attention
266886,2907,1,10718.5,3,1,3,313,7,Loyal
266888,2692,1,6528.34,4,1,2,412,7,Loyal
266889,2878,1,10130.64,3,1,2,312,6,Potential
266892,3625,1,865.215,1,1,1,111,3,Require Activation
266895,2873,1,5684.12,3,1,2,312,6,Potential
266897,3362,1,1621.035,1,1,1,111,3,Require Activation
266900,3272,2,4006.73,2,3,2,232,7,Loyal
266902,3332,1,4087.3949999999995,2,1,2,212,5,Promising
266904,3275,2,28500.159999999996,2,3,4,234,9,Can't Loose Them
266906,2722,1,12845.625,4,1,3,413,8,Champions
266915,3501,2,16464.5,1,3,3,133,7,Loyal
266917,2663,1,26299.0,4,1,4,414,9,Can't Loose Them
266918,2769,2,8732.814999999999,4,3,2,432,9,Can't Loose Them
266919,2899,1,4803.4349999999995,3,1,2,312,6,Potential
266920,3242,1,38868.375,2,1,4,214,7,Loyal
266922,3505,1,1617.72,1,1,1,111,3,Require Activation
266923,2790,2,35221.875,4,3,4,434,11,Can't Loose Them
266934,3137,1,4614.48,2,1,2,212,5,Promising
266935,2994,2,5109.52,3,3,2,332,8,Champions
266936,3094,1,14708.655,2,1,3,213,6,Potential
266937,2841,1,403.325,3,1,1,311,5,Promising
266939,2846,2,39408.72,3,3,4,334,10,Can't Loose Them
266940,2729,2,21853.585,4,3,3,433,10,Can't Loose Them
266941,3582,1,20193.875,1,1,3,113,5,Promising
266942,3333,1,14365.0,1,1,3,113,5,Promising
266943,3185,1,2506.14,2,1,1,211,4,Needs Attention
266945,2943,3,48601.215000000004,3,4,4,344,11,Can't Loose Them
266953,3137,2,30258.215,2,3,4,234,9,Can't Loose Them
266958,2698,1,1745.9,4,1,1,411,6,Potential
266960,3061,2,17552.925,3,3,3,333,9,Can't Loose Them
266964,3237,1,19253.52,2,1,3,213,6,Potential
266966,3214,1,18343.0,2,1,3,213,6,Potential
266976,3143,1,406.64,2,1,1,211,4,Needs Attention
266986,3244,2,3791.255,2,3,2,232,7,Loyal
266989,2699,1,1213.29,4,1,1,411,6,Potential
266990,2881,1,664.105,3,1,1,311,5,Promising
266992,2994,1,2956.98,3,1,1,311,5,Promising
266993,2865,1,18139.68,3,1,3,313,7,Loyal
266997,2782,2,40739.14,4,3,4,434,11,Can't Loose Them
266998,3196,1,23923.25,2,1,4,214,7,Loyal
266999,2957,1,13385.97,3,1,3,313,7,Loyal
267000,3336,1,29337.75,1,1,4,114,6,Potential
267002,3147,1,692.835,2,1,1,211,4,Needs Attention
267004,2599,2,33462.715,4,3,4,434,11,Can't Loose Them
267005,3119,1,4561.44,2,1,2,212,5,Promising
267010,3088,1,17114.24,2,1,3,213,6,Potential
267012,3093,1,14692.08,2,1,3,213,6,Potential
267016,3291,1,14267.76,2,1,3,213,6,Potential
267019,2789,1,603.33,4,1,1,411,6,Potential
267020,2925,3,38896.0,3,4,4,344,11,Can't Loose Them
267021,2819,3,19241.364999999998,4,4,3,443,11,Can't Loose Them
267023,3565,1,5260.905,1,1,2,112,4,Needs Attention
267024,2880,2,27336.595,3,3,4,334,10,Can't Loose Them
267025,2922,3,54119.585,3,4,4,344,11,Can't Loose Them
267028,3301,1,1264.12,2,1,1,211,4,Needs Attention
267037,3183,1,5489.64,2,1,2,212,5,Promising
267042,3537,2,3873.025,1,3,2,132,6,Potential
267043,3580,1,9606.869999999999,1,1,2,112,4,Needs Attention
267044,3520,1,26685.75,1,1,4,114,6,Potential
267045,2598,2,13406.965,4,3,3,433,10,Can't Loose Them
267048,3553,2,20654.66,1,3,3,133,7,Loyal
267049,2760,1,855.27,4,1,1,411,6,Potential
267051,3702,1,8857.68,1,1,2,112,4,Needs Attention
267053,3135,2,7030.01,2,3,2,232,7,Loyal
267061,2668,1,12252.24,4,1,3,413,8,Champions
267066,3459,1,3978.0,1,1,2,112,4,Needs Attention
267067,2414,1,1352.52,4,1,1,411,6,Potential
267068,2902,1,13808.08,3,1,3,313,7,Loyal
267073,3059,1,1291.745,3,1,1,311,5,Promising
267075,2636,3,41676.18,4,4,4,444,12,Can't Loose Them
267076,3136,1,3200.08,2,1,1,211,4,Needs Attention
267078,2694,1,5847.66,4,1,2,412,7,Loyal
267081,3143,2,20537.53,2,3,3,233,8,Champions
267083,3199,2,34405.28,2,3,4,234,9,Can't Loose Them
267088,2874,2,2353.65,3,3,1,331,7,Loyal
267093,3726,1,25406.16,1,1,4,114,6,Potential
267094,2633,1,1601.145,4,1,1,411,6,Potential
267097,3196,1,5794.62,2,1,2,212,5,Promising
267099,3309,1,7369.245,2,1,2,212,5,Promising
267102,3685,1,24433.76,1,1,4,114,6,Potential
267103,2878,1,1591.2,3,1,1,311,5,Promising
267106,3424,1,36492.625,1,1,4,114,6,Potential
267107,3236,1,3928.2749999999996,2,1,2,212,5,Promising
267110,3662,1,3942.64,1,1,2,112,4,Needs Attention
267112,2803,1,22312.16,4,1,3,413,8,Champions
267113,3543,1,1351.415,1,1,1,111,3,Require Activation
267119,3675,1,2028.78,1,1,1,111,3,Require Activation
267125,3116,3,16296.539999999999,2,4,3,243,9,Can't Loose Them
267126,3486,2,34246.16,1,3,4,134,8,Champions
267129,3507,1,4985.76,1,1,2,112,4,Needs Attention
267134,2773,1,394.485,4,1,1,411,6,Potential
267135,3207,2,21195.005,2,3,3,233,8,Champions
267143,2964,1,20414.875,3,1,3,313,7,Loyal
267147,2939,1,994.5,3,1,1,311,5,Promising
267148,2944,2,11563.825,3,3,3,333,9,Can't Loose Them
267149,3217,1,24310.0,2,1,4,214,7,Loyal
267151,3210,3,64417.08,2,4,4,244,10,Can't Loose Them
267152,3531,1,10501.92,1,1,3,113,5,Promising
267157,3430,1,18404.88,1,1,3,113,5,Promising
267158,3642,1,2563.6,1,1,1,111,3,Require Activation
267161,3701,1,18453.5,1,1,3,113,5,Promising
267162,2808,1,6501.82,4,1,2,412,7,Loyal
267163,3454,2,10846.68,1,3,3,133,7,Loyal
267164,2636,2,33926.815,4,3,4,434,11,Can't Loose Them
